name,count,mean,std,min,25%,50%,75%,max
J121,1.0,77023.140625,,77023.140625,77023.140625,77023.140625,77023.140625,77023.140625
J122,1.0,76978.71875,,76978.71875,76978.71875,76978.71875,76978.71875,76978.71875
J123,1.0,76962.734375,,76962.734375,76962.734375,76962.734375,76962.734375,76962.734375
J124,1.0,76919.1328125,,76919.1328125,76919.1328125,76919.1328125,76919.1328125,76919.1328125
J125,1.0,75549.7109375,,75549.7109375,75549.7109375,75549.7109375,75549.7109375,75549.7109375
J126,1.0,77045.828125,,77045.828125,77045.828125,77045.828125,77045.828125,77045.828125
J127,1.0,76969.5625,,76969.5625,76969.5625,76969.5625,76969.5625,76969.5625
J128,1.0,77033.5546875,,77033.5546875,77033.5546875,77033.5546875,77033.5546875,77033.5546875
J129,1.0,37780.23828125,,37780.23828125,37780.23828125,37780.23828125,37780.23828125,37780.23828125
J130,1.0,77010.34375,,77010.34375,77010.34375,77010.34375,77010.34375,77010.34375
J131,1.0,77037.203125,,77037.203125,77037.203125,77037.203125,77037.203125,77037.203125
J132,1.0,71019.609375,,71019.609375,71019.609375,71019.609375,71019.609375,71019.609375
J133,1.0,77045.75,,77045.75,77045.75,77045.75,77045.75,77045.75
J134,1.0,76987.2421875,,76987.2421875,76987.2421875,76987.2421875,76987.2421875,76987.2421875
J135,1.0,77004.9140625,,77004.9140625,77004.9140625,77004.9140625,77004.9140625,77004.9140625
J136,1.0,76652.328125,,76652.328125,76652.328125,76652.328125,76652.328125,76652.328125
J137,1.0,77025.109375,,77025.109375,77025.109375,77025.109375,77025.109375,77025.109375
J138,1.0,77044.3046875,,77044.3046875,77044.3046875,77044.3046875,77044.3046875,77044.3046875
J139,1.0,76989.8515625,,76989.8515625,76989.8515625,76989.8515625,76989.8515625,76989.8515625
J140,1.0,76956.2578125,,76956.2578125,76956.2578125,76956.2578125,76956.2578125,76956.2578125
J141,1.0,77026.9375,,77026.9375,77026.9375,77026.9375,77026.9375,77026.9375
J142,1.0,76747.828125,,76747.828125,76747.828125,76747.828125,76747.828125,76747.828125
J143,1.0,77037.34375,,77037.34375,77037.34375,77037.34375,77037.34375,77037.34375
J144,1.0,76982.1875,,76982.1875,76982.1875,76982.1875,76982.1875,76982.1875
J145,1.0,76864.2265625,,76864.2265625,76864.2265625,76864.2265625,76864.2265625,76864.2265625
J146,1.0,62374.18359375,,62374.18359375,62374.18359375,62374.18359375,62374.18359375,62374.18359375
J147,1.0,76917.5390625,,76917.5390625,76917.5390625,76917.5390625,76917.5390625,76917.5390625
J148,1.0,77030.109375,,77030.109375,77030.109375,77030.109375,77030.109375,77030.109375
J149,1.0,76103.4453125,,76103.4453125,76103.4453125,76103.4453125,76103.4453125,76103.4453125
J150,1.0,76450.8515625,,76450.8515625,76450.8515625,76450.8515625,76450.8515625,76450.8515625
J151,1.0,77038.3984375,,77038.3984375,77038.3984375,77038.3984375,77038.3984375,77038.3984375
J152,1.0,60770.86328125,,60770.86328125,60770.86328125,60770.86328125,60770.86328125,60770.86328125
J153,1.0,76824.75,,76824.75,76824.75,76824.75,76824.75,76824.75
J154,1.0,76167.09375,,76167.09375,76167.09375,76167.09375,76167.09375,76167.09375
J155,1.0,76871.7265625,,76871.7265625,76871.7265625,76871.7265625,76871.7265625,76871.7265625
J156,1.0,76993.59375,,76993.59375,76993.59375,76993.59375,76993.59375,76993.59375
J157,1.0,76660.78125,,76660.78125,76660.78125,76660.78125,76660.78125,76660.78125
J158,1.0,77038.203125,,77038.203125,77038.203125,77038.203125,77038.203125,77038.203125
J159,1.0,76996.640625,,76996.640625,76996.640625,76996.640625,76996.640625,76996.640625
J160,1.0,70894.3828125,,70894.3828125,70894.3828125,70894.3828125,70894.3828125,70894.3828125
J161,1.0,75783.3515625,,75783.3515625,75783.3515625,75783.3515625,75783.3515625,75783.3515625
J162,1.0,76914.46875,,76914.46875,76914.46875,76914.46875,76914.46875,76914.46875
J163,1.0,77038.7578125,,77038.7578125,77038.7578125,77038.7578125,77038.7578125,77038.7578125
J164,1.0,64994.140625,,64994.140625,64994.140625,64994.140625,64994.140625,64994.140625
J165,1.0,76907.328125,,76907.328125,76907.328125,76907.328125,76907.328125,76907.328125
J166,1.0,74143.3828125,,74143.3828125,74143.3828125,74143.3828125,74143.3828125,74143.3828125
J167,1.0,75359.1015625,,75359.1015625,75359.1015625,75359.1015625,75359.1015625,75359.1015625
J168,1.0,77034.6640625,,77034.6640625,77034.6640625,77034.6640625,77034.6640625,77034.6640625
J169,1.0,76549.5859375,,76549.5859375,76549.5859375,76549.5859375,76549.5859375,76549.5859375
J170,1.0,76991.890625,,76991.890625,76991.890625,76991.890625,76991.890625,76991.890625
J171,1.0,76516.578125,,76516.578125,76516.578125,76516.578125,76516.578125,76516.578125
J172,1.0,76822.15625,,76822.15625,76822.15625,76822.15625,76822.15625,76822.15625
J173,1.0,76769.9296875,,76769.9296875,76769.9296875,76769.9296875,76769.9296875,76769.9296875
J174,1.0,67453.8984375,,67453.8984375,67453.8984375,67453.8984375,67453.8984375,67453.8984375
J175,1.0,77013.6953125,,77013.6953125,77013.6953125,77013.6953125,77013.6953125,77013.6953125
J176,1.0,76820.6953125,,76820.6953125,76820.6953125,76820.6953125,76820.6953125,76820.6953125
J177,1.0,76489.9609375,,76489.9609375,76489.9609375,76489.9609375,76489.9609375,76489.9609375
J178,1.0,77053.1015625,,77053.1015625,77053.1015625,77053.1015625,77053.1015625,77053.1015625
J179,1.0,76997.6953125,,76997.6953125,76997.6953125,76997.6953125,76997.6953125,76997.6953125
J180,1.0,76819.609375,,76819.609375,76819.609375,76819.609375,76819.609375,76819.609375
J181,1.0,77025.4375,,77025.4375,77025.4375,77025.4375,77025.4375,77025.4375
