Ward number,Ward Name,connections,consumption_ML,demand_LPS,demand_m3_s
118,Sudamnagar,5143,102.94595,1191.5040509259259,1.1915040509259258
119,Dharmarayaswamy Temple Ward,4968,99.841961,1155.5782523148148,1.1555782523148148
120,Cottonpet,3063,63.654457,736.7414004629629,0.7367414004629629
121,Binnypet,4568,105.210713,1217.716585648148,1.2177165856481482
122,Kempapura Agrahara,3892,88.038879,1018.9685069444445,1.0189685069444445
123,Vijaynagar,3600,93.564817,1082.9261226851852,1.0829261226851852
124,Hosahalli,4507,117.534827,1360.3567939814816,1.3603567939814816
125,Marenahalli,3389,94.15481,1089.7547453703703,1.0897547453703702
126,Maruthi Mandira Ward,4021,101.675819,1176.803460648148,1.1768034606481481
127,Moodalapalya,5843,134.363714,1555.1355787037037,1.5551355787037038
128,Nagarabhavi,10830,260.820342,3018.753958333333,3.018753958333333
129,Jnanabharathi ward,13787,333.93756,3865.0180555555557,3.8650180555555558
130,Ullalu,9012,193.315846,2237.4519212962964,2.237451921296296
131,Nayandanahalli,4349,124.739735,1443.7469328703703,1.4437469328703703
132,Attiguppe,5472,173.85573,2012.2190972222222,2.0122190972222223
133,Hampinagar,3027,84.487917,977.8694097222223,0.9778694097222222
134,Bapujinagar,4458,132.311846,1531.3871064814814,1.5313871064814815
135,Padarayanapura,2027,73.043915,845.4156828703703,0.8454156828703704
136,Jagareevanram Nagar,4827,131.270654,1519.3362731481484,1.5193362731481483
137,Rayapuram,3459,81.732898,945.9826157407407,0.9459826157407407
138,Chalavadipalya,2391,55.790851,645.7274421296296,0.6457274421296296
139,K.R. Market,2928,54.062027,625.7179050925926,0.6257179050925925
140,Chamrajpet,4785,165.876273,1919.8642708333334,1.9198642708333333
141,Azadnagar,4026,109.803729,1270.8764930555556,1.2708764930555556
142,Sunkenahalli,2893,66.158773,765.7265393518519,0.7657265393518519
143,Vishweshrapuram,4732,122.120172,1413.4279166666668,1.4134279166666668
144,Siddapura,4483,127.001971,1469.9302199074075,1.4699302199074076
145,Hombegowdanagar,6521,199.944646,2314.1741435185186,2.3141741435185184
146,Lakkasandra,2834,95.688479,1107.5055439814814,1.1075055439814814
147,Adugodi,3410,108.204782,1252.370162037037,1.252370162037037
148,Ejipura,4786,138.668628,1604.9609722222222,1.6049609722222222
149,Varthur,3304,167.414887,1937.6723032407408,1.9376723032407408
150,Bellandur,4766,334.916877,3876.3527430555555,3.8763527430555555
151,Koramangala,7146,290.214217,3358.9608449074076,3.3589608449074078
152,Sudduguntepalya,4073,144.292601,1670.053252314815,1.6700532523148148
153,Jayanagar,3983,178.41642499999998,2065.0049189814813,2.065004918981481
154,Basavanagudi,5792,137.534205,1591.831076388889,1.591831076388889
155,Hanumanthanagar,4137,88.739762,1027.0805787037036,1.0270805787037036
156,Srinagar,5672,143.67676,1662.925462962963,1.6629254629629628
157,Gali Anjaneya swamy Temple Ward,5382,138.8667,1607.2534722222222,1.6072534722222223
158,Deepanjali Nagar,2933,77.106885,892.4407986111111,0.892440798611111
159,Kengeri,14453,290.123297,3357.9085300925926,3.3579085300925926
160,Rajarajeshwarinagar,16297,454.761435,5263.442534722222,5.2634425347222225
161,Hosakerehalli,7363,168.984706,1955.8415046296295,1.9558415046296296
162,Girinagar,7733,192.095687,2223.329710648148,2.223329710648148
163,Katriguppe,6518,146.495708,1695.552175925926,1.695552175925926
164,Vidyapeetha Ward,4754,108.01665,1250.1927083333333,1.2501927083333333
165,Ganeshmandira Ward,4494,111.421596,1289.6018055555555,1.2896018055555556
166,Karisandra,4636,121.137637,1402.0559837962962,1.4020559837962963
167,Yadiyuru,4395,108.17055,1251.9739583333333,1.2519739583333334
168,Pattabhiramnagar,4302,151.57331,1754.3207175925927,1.7543207175925928
169,Byrasandra,3839,117.212586,1356.6271527777778,1.3566271527777778
170,Jayanagar East,3888,104.894709,1214.0591319444445,1.2140591319444445
171,Gurappanapalya,4061,185.442721,2146.327789351852,2.146327789351852
172,Madiwala,5570,173.184595,2004.4513310185184,2.0044513310185184
173,Jakkasandra,2855,126.029759,1458.6777662037036,1.4586777662037036
174,HSR Layout,14105,572.166949,6622.302650462963,6.622302650462963
175,Bommanahalli,6504,297.594763,3444.3838310185183,3.444383831018518
176,BTM Layout,7549,258.409435,2990.849942129629,2.9908499421296293
177,J.P.Nagar,5613,176.659589,2044.6711689814815,2.0446711689814814
178,Sarakki,5619,177.153531,2050.388090277778,2.0503880902777776
179,Shakambarinagar,3774,113.19858,1310.16875,1.31016875
180,Banashankari Temple Ward,5171,120.24768,1391.7555555555555,1.3917555555555554
181,Kumaraswamy Layout,8364,269.272627,3116.5813310185185,3.1165813310185184
182,Padmanabhanagar,6036,184.283748,2132.91375,2.13291375
183,Chikkallasandra,5170,132.392797,1532.3240393518518,1.5323240393518518
184,Uttarahalli,9119,327.472837,3790.194872685185,3.790194872685185
185,Yelachenahalli,6523,198.628751,2298.943877314815,2.298943877314815
186,Jaraganahalli,3043,83.844829,970.426261574074,0.9704262615740741
187,Puttenahalli,4605,155.1418,1795.6226851851852,1.7956226851851853
188,Bilekahalli,4393,254.096835,2940.935590277778,2.940935590277778
189,Hongasandra,8314,352.880862,4084.2692361111112,4.084269236111111
190,Mangammanapalya,3214,91.500888,1059.0380555555555,1.0590380555555554
191,Singasandra,4572,173.776931,2011.3070717592593,2.0113070717592594
192,Begur,6490,316.796943,3666.631284722222,3.666631284722222
193,Arakere,9995,362.9845,4201.209490740741,4.201209490740741
194,Gottigere,3671,99.342945,1149.8026041666667,1.1498026041666667
195,Konanakunte,10054,298.778588,3458.085509259259,3.4580855092592593
196,Anjanapura,7857,285.093835,3299.697164351852,3.299697164351852
197,Vasanthapura,4315,153.019933,1771.0640393518518,1.7710640393518517
198,Hemmigepura,4120,95.993893,1111.0404282407408,1.1110404282407407
