Ward number,Ward Name,Node,demand_LPS,Supplied_LPS,Demand_m3_day,Supplied_m3_day,Shortage_m3_day,Shortage_pct,Pressure_m,Head_m,Leakage_m3_day,CostImpact_Rs_day
130,Ullalu,J130,2237.4519212962964,11.300262228769064,193315.84600000002,976.3426565656472,192339.50334343436,99.49494949494951,102.69852,187.69852,1624.7767695121884,384679.0066868687
131,Nayandanahalli,J131,1443.7469328703703,7.291651176112911,124739.735,629.9986616161556,124109.73633838384,99.49494949494951,133.38307,219.38307,1622.5471757929672,248219.47267676768
132,Attiguppe,J132,2012.2190972222224,10.162722713243449,173855.73000000004,878.0592424242341,172977.6707575758,99.49494949494951,120.63263,207.63263,1928.9109825704854,345955.3415151516
133,Hampinagar,J133,977.8694097222224,4.938734392536428,84487.91700000002,426.7066515151474,84061.21034848486,99.49494949494951,140.3951,228.3951,1187.8380144010052,168122.42069696973
134,Bapujinagar,J134,1531.3871064814814,7.734278315562962,132311.846,668.24164646464,131643.60435353534,99.49494949494951,89.41767,178.41766,848.4696254078231,263287.2087070707
135,Padarayanapura,J135,845.4156828703703,4.2697761761129405,73043.91500000001,368.9086616161581,72675.00633838386,99.49494949494951,97.263565,187.26357,554.3693311685463,145350.0126767677
136,Jagareevanram Nagar,J136,1519.3362731481484,7.6734155209501695,131270.65400000004,662.9831010100947,130607.67089898995,99.49494949494951,128.3854,219.3854,1609.0907353077407,261215.3417979799
137,Rayapuram,J137,945.9826157407408,4.777689978488543,81732.89800000002,412.7924141414102,81320.1055858586,99.49494949494951,116.403,208.403,854.9628928841001,162640.2111717172
138,Chalavadipalya,J138,645.7274421296296,3.26124970772537,55790.851,281.771974747472,55509.07902525253,99.49494949494951,136.66042,229.66042,753.1242124726128,111018.15805050507
139,K.R. Market,J139,625.7179050925926,3.160191439861548,54062.027,273.04054040403776,53788.986459595966,99.49494949494951,84.71945,178.71945,308.5815899987725,107577.97291919193
140,Chamrajpet,J140,1919.8642708333332,9.696284196127852,165876.273,837.7589545454465,165038.51404545453,99.49494949494951,92.828926,187.82892,1148.5835297209196,330077.02809090907
141,Azadnagar,J141,1270.8764930555556,6.418568146745168,109803.729,554.5642878787825,109249.16471212123,99.49494949494951,122.06321,218.06322,1241.8232417565134,218498.32942424246
142,Sunkenahalli,J142,765.7265393518519,3.8673057543022447,66158.773,334.135217171714,65824.63778282829,99.49494949494951,112.22567,209.22566,650.5954829454364,131649.27556565657
143,Vishweshrapuram,J143,1413.4279166666668,7.138524831649763,122120.17200000002,616.7685454545395,121503.40345454548,99.49494949494951,131.22246,229.22246,1548.8952038194684,243006.80690909096
144,Siddapura,J144,1469.9302199074075,7.423889999532289,127001.97100000002,641.4240959595897,126360.54690404043,99.49494949494951,80.104195,179.10419,636.9948005552519,252721.09380808086
145,Hombegowdanagar,J145,2314.1741435185186,11.687748199588365,199944.646,1009.8214444444347,198934.82455555556,99.49494949494951,88.46232,188.46233,1253.5225665108082,397869.6491111111
146,Lakkasandra,J146,1107.5055439814814,5.593462343340761,95688.479,483.27514646464175,95205.20385353536,99.49494949494951,116.625694,217.62569,1004.1409376769138,190410.40770707073
147,Adugodi,J147,1252.370162037037,6.325101828469823,108204.782,546.4887979797927,107658.29320202021,99.49494949494951,106.62057,208.62057,973.0948560348613,215316.58640404043
148,Ejipura,J148,1604.9609722222222,8.10586349607175,138668.628,700.3466060605992,137968.2813939394,99.49494949494951,126.36963,229.36963,1657.845085945146,275936.5627878788
149,Varthur,J149,1937.6723032407408,9.78622375374102,167414.88700000002,845.5297323232242,166569.3572676768,99.49494949494951,74.59241,178.5924,837.0744350000001,333138.7145353536
150,Bellandur,J150,3876.352743055556,19.577539106341003,334916.87700000004,1691.4993787878627,333225.37762121216,99.49494949494951,107.31236,187.31236,3046.6899322049585,666450.7552424243
151,Koramangala,J151,3358.960844907408,16.96444871165341,290214.21700000006,1465.7283686868548,288748.4886313132,99.49494949494951,136.21848,217.21848,3898.3814081195246,577496.9772626264
152,Sudduguntepalya,J152,1670.053252314815,8.434612385428276,144292.60100000002,728.7505101010031,143563.85048989902,99.49494949494951,127.11116,209.11116,1741.131776879074,287127.70097979804
153,Jayanagar,J153,2065.0049189814813,10.429317772633643,178416.425,901.0930555555468,177515.33194444445,99.49494949494951,144.35046,227.35046,2614.258978045825,355030.6638888889
154,Basavanagudi,J154,1591.831076388889,8.039550890852896,137534.20500000002,694.6171969696902,136839.58780303033,99.49494949494951,95.67054,179.67055,1010.956314123105,273679.17560606066
155,Hanumanthanagar,J155,1027.0805787037036,5.1872756500186545,88739.762,448.1806161616118,88291.58138383839,99.49494949494951,104.33176,189.33176,767.577998716168,176583.16276767678
156,Srinagar,J156,1662.925462962963,8.398613449307812,143676.76,725.6402020201949,142951.1197979798,99.49494949494951,133.44614,219.44614,1870.2290344559601,285902.2395959596
157,Gali Anjaneya swamy Temple Ward,J157,1607.2534722222222,8.117441778900034,138866.7,701.346969696963,138165.35303030306,99.49494949494951,121.24619,208.24619,1553.4918439309497,276330.7060606061
